tournament,date,series,court,surface,round,best of,player_1,player_2,winner,rank_1,rank_2,pts_1,pts_2,odd_1,odd_2,score
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Harris A.,Berrettini M.,Berrettini M.,162,8,316,2870,7,1.1,3-6 1-6 3-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Berankis R.,Carballes Baena R.,Berankis R.,69,83,804,664,1.66,2.2,6-4 6-2 6-2
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Mcdonald M.,Evans D.,Evans D.,129,32,419,1349,5,1.16,6-3 6-4 1-6 2-6 3-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Djere L.,Nishioka Y.,71,40,797,1185,1.57,2.37,6-4 3-6 6-2 7-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Smith J.P.,Pella G.,Pella G.,308,25,130,1585,4,1.25,3-6 5-7 4-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,Coric B.,Querrey S.,45,28,1100,1490,2.2,1.66,6-3 6-4 6-4
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Safwat M.,Barrere G.,Barrere G.,173,84,291,649,2.75,1.44,7-6 6-7 4-6 6-7
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Shapovalov D.,Fucsovics M.,67,13,827,2200,5,1.16,6-3 6-7 6-1 7-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Johnson S.,Federer R.,Federer R.,75,3,720,6590,15,1.03,3-6 2-6 2-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Londero J.I.,Dimitrov G.,20,52,1772,1017,1.2,4.5,4-6 6-2 6-0 6-4
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Caruso S.,Tsitsipas S.,Tsitsipas S.,95,6,586,5375,19,1.02,0-6 2-6 3-6
